benchmark_name,NA,NA_solved,lower_bound,upper_bound_ktree,upper_bound_nonzeropairs,range_status_nonzeropairs,range_ratio_nonzeropairs,upper_bound_uniqueterms,range_status_uniqueterms,range_ratio_uniqueterms
BULL91_32,10,true,10,16,14,OK,0.666667,10,TIGHT,0.000000
CHANG06_3,6,true,4,10,7,OK,0.500000,8,OK,0.666667
CHEN99_15,5,true,5,8,8,OK,1.000000,10,OK,1.666667
CHEN99_28A,9,false,9,16,15,OK,0.857143,13,OK,0.571429
CHEN99_28B,9,true,9,16,16,OK,1.000000,14,OK,0.714286
CHENYAO01_28A,8,true,8,13,12,OK,0.800000,9,OK,0.200000
CHENYAO01_28B,9,true,9,14,14,OK,1.000000,11,OK,0.400000
DEMPSTER02_25,20,false,14,44,32,OK,0.600000,22,OK,0.266667
DEMPSTER04_A3,4,true,3,7,5,OK,0.500000,6,OK,0.750000
DEMPSTER04_B3,4,true,4,8,6,OK,0.500000,7,OK,0.750000
DEMPSTER04_C3,6,false,5,12,9,OK,0.571429,8,OK,0.428571
DEMPSTER04_D3,5,true,4,9,7,OK,0.600000,8,OK,0.800000
DEMPSTER04_E3,-1,false,5,15,9,???,0.400000,8,???,0.300000
DEMPSTER04_F3,-1,false,5,14,9,???,0.444444,9,???,0.444444
DEMPSTER04_G4,10,false,5,17,11,OK,0.500000,10,OK,0.416667
DEMPSTER04_H4,10,false,5,18,12,OK,0.538462,11,OK,0.461538
DEMPSTER04_I5,10,false,5,16,12,OK,0.636364,11,OK,0.545455
DEMPSTER04_J5,9,false,6,17,13,OK,0.636364,10,OK,0.363636
DEMPSTER04_K5,10,false,6,19,13,OK,0.538462,10,OK,0.307692
DEMPSTER04_L5,11,false,6,19,14,OK,0.615385,12,OK,0.461538
GAUSSIAN_3,4,true,3,5,5,OK,1.000000,5,OK,1.000000
GAUSSIAN_5,5,true,4,10,8,OK,0.666667,7,OK,0.500000
GOODMAN77_A3,-1,false,0,0,0,???,0.000000,0,???,0.000000
GOODMAN77_B3,-1,false,0,0,0,???,0.000000,0,???,0.000000
GOODMAN77_C7,1,true,1,1,1,TIGHT,0.000000,1,TIGHT,0.000000
GOODMAN77_D7,2,true,2,3,3,OK,1.000000,3,OK,1.000000
GOODMAN77_E11,3,true,3,6,5,OK,0.666667,5,OK,0.666667
GOODMAN77_F11,5,true,4,9,8,OK,0.800000,6,OK,0.400000
GOODMAN77_G11,4,true,3,7,5,OK,0.500000,6,OK,0.750000
GOODMAN77_H15,7,true,5,10,8,OK,0.600000,9,OK,0.800000
GOODMAN77_I19,9,false,5,14,11,OK,0.666667,10,OK,0.555556
