benchmark_name,ref_nof_adders,ref_adder_depth,ref_solved,ref_solve_s,nof_adders,adder_depth,solved,solve_s,comparison
BULL91_32,10,2,true,0.037,10,2,true,10.528,ClosedFinality EqualObjectivity
CHANG06_3,6,3,true,264.154,6,3,false,601.730,NotClosedFinality EqualObjectivity
CHEN99_15,5,3,true,2.492,6,2,true,2.833,ClosedFinality ShallowerObjectivity
CHEN99_28A,9,3,false,1800.002,9,3,true,2.049,NewlyClosedFinality EqualObjectivity
CHEN99_28B,9,3,true,486.771,10,2,true,2.925,ClosedFinality ShallowerObjectivity
CHENYAO01_28A,8,2,true,0.028,8,2,true,0.115,ClosedFinality EqualObjectivity
CHENYAO01_28B,9,2,true,0.070,9,2,true,0.264,ClosedFinality EqualObjectivity
DEMPSTER02_25,20,3,false,1800.003,,,,,OpenFinality MissingObjectivity
DEMPSTER04_A3,4,3,true,0.712,5,2,true,0.657,ClosedFinality ShallowerObjectivity
DEMPSTER04_B3,4,3,true,1.331,5,2,true,2.982,ClosedFinality ShallowerObjectivity
DEMPSTER04_C3,6,4,false,1800.007,7,3,false,601.744,OpenFinality ShallowerObjectivity
DEMPSTER04_D3,5,3,true,10.849,5,3,true,82.558,ClosedFinality EqualObjectivity
DEMPSTER04_E3,,,,,,,,,nothing
DEMPSTER04_F3,,,,,,,,,nothing
DEMPSTER04_G4,10,3,false,1800.005,,,,,OpenFinality MissingObjectivity
DEMPSTER04_H4,10,3,false,1800.007,,,,,OpenFinality MissingObjectivity
DEMPSTER04_I5,10,3,false,1800.001,,,,,OpenFinality MissingObjectivity
DEMPSTER04_J5,9,3,false,1800.007,10,3,false,601.448,OpenFinality WorseObjectivity
DEMPSTER04_K5,10,3,false,1800.008,9,4,false,602.245,OpenFinality NarrowerObjectivity
DEMPSTER04_L5,11,3,false,1800.001,,,,,OpenFinality MissingObjectivity
GAUSSIAN_3,4,2,true,0.020,4,2,true,0.077,ClosedFinality EqualObjectivity
GAUSSIAN_5,5,4,true,342.400,6,3,false,601.496,NotClosedFinality ShallowerObjectivity
GOODMAN77_A3,,,,,,,,,nothing
GOODMAN77_B3,,,,,,,,,nothing
GOODMAN77_C7,1,1,true,0.000,1,1,true,0.119,ClosedFinality EqualObjectivity
GOODMAN77_D7,2,2,true,0.003,2,2,true,0.011,ClosedFinality EqualObjectivity
GOODMAN77_E11,3,3,true,0.013,3,3,true,0.124,ClosedFinality EqualObjectivity
